
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[   158360 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 7202
[   255686 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 14732
[   329272 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 22125
[   402358 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 64, index = 1, nodes processed = 29517
[   475688 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 36941
[   549490 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 44511
[   623538 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 52143
[   698194 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 59630
[   771224 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 66986
[   844256 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 74360
[   917458 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 81755
[   991016 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 89259
[  1064462 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 96715
[  1138056 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 104218
[  1211668 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 111763
[  1285260 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 119284
[  1358826 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 126754
[  1431978 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 134159
[  1504824 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 64, index = 2, nodes processed = 141473
[  1578082 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 148896
[  1651592 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 156395
[  1725466 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 163985
[  1798728 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 171409
[  1871576 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 178728
[  1945006 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 186178
[  2018368 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 193652
[  2092084 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 201161
[  2165664 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 208686
[  2238524 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 216036
[  2312520 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 223641
[  2386228 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 231169
[  2460116 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 238774
[  2533730 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 246301
[  2607058 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 253756
[  2680808 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 261304
[  2754626 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 268867
[  2828436 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 276414
[  2902500 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 284054
[  2975498 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 291401
[  3049262 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 298932
[  3122858 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 306480
[  3196052 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 313858
[  3269368 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 321326
[  3342544 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 328743
[  3415976 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 336196
[  3489570 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 343657
[  3563164 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 351178
[  3636806 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 358724
[  3710284 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 366218
[  3783732 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 373672
[  3856732 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 381016
[  3930770 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 388646
[  4004132 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 396116
[  4077730 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 403624
[  4151176 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 411105
[  4225168 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 418701
[  4298936 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 426282
[  4372610 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 433798
[  4445974 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 441241
[  4519778 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 448802
[  4593004 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 456234
[  4667140 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 463874
[  4740424 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 471338
[  4813772 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 478773
[  4887336 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 486257
[  4960300 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 493616
[  5033814 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 501104
[  5107320 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 508573
[  5180514 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 516002
[  5253794 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 523419
[  5327056 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 530853
[  5400476 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 538287
[  5473470 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 545654
[  5546816 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 553070
[  5620394 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 2, nodes processed = 560566
[  5694088 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 568120
[  5767252 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 575524
[  5840482 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 582939
[  5914012 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 590438
[  5987478 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 3, delay = 64, index = 1, nodes processed = 597890
[  6061170 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 605449
[  6134462 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 612894
[  6207724 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 620330
[  6281218 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 0, nodes processed = 627810
[  6354972 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 635354
[  6428488 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 642810
[  6501914 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 64, index = 1, nodes processed = 650273
[  6575194 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 64, index = 0, nodes processed = 657748
[  6648870 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 64, index = 0, nodes processed = 665256
