
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[   310644 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 128, index = 0, nodes processed = 7199
[   491620 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 14702
[   637994 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 128, index = 1, nodes processed = 22132
[   783804 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 128, index = 0, nodes processed = 29510
[   930034 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 128, index = 0, nodes processed = 36914
[  1076730 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 44410
[  1225090 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 52085
[  1372152 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 128, index = 2, nodes processed = 59619
[  1518720 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 128, index = 1, nodes processed = 67092
[  1664284 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 74397
[  1810020 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 81747
[  1956522 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 89181
[  2103376 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 128, index = 0, nodes processed = 96714
[  2250674 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 128, index = 0, nodes processed = 104236
