
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[ 10345806 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 500000
[ 10551370 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 510000
[ 10752560 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 520000
[ 10956350 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 530000
[ 11161490 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 540000
[ 11363666 ns] [top.task_PE_18] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 550000
[ 11568202 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 560000
[ 11776860 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 570000
[ 11980878 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 580000
[ 12183344 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 590000
[ 12388638 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 600000
[ 12589564 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 610000
[ 12792948 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 620000
[ 12994652 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 630000
[ 13201012 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 640000
[ 13402674 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 650000
[ 13604168 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 660000
[ 13811288 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 670000
[ 14016178 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 680000
[ 14220434 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 690000
[ 14424368 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 700000
[ 14625250 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 128, nodes processed = 710000
