Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:11:50 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_16_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
----------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
|       casServers_13                  |         contAddrServer_155 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_14                  |         contAddrServer_156 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_15                  |         contAddrServer_157 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_2                   |         contAddrServer_158 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_3                   |         contAddrServer_159 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_4                   |         contAddrServer_160 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_5                   |         contAddrServer_161 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_6                   |         contAddrServer_162 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_7                   |         contAddrServer_163 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_8                   |         contAddrServer_164 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_9                   |         contAddrServer_165 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_0                 |            contAddrNtwUnit |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_1                 |        contAddrNtwUnit_166 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_10                |        contAddrNtwUnit_167 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_11                |        contAddrNtwUnit_168 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_12                |        contAddrNtwUnit_169 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_13                |        contAddrNtwUnit_170 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_14                |        contAddrNtwUnit_171 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_15                |        contAddrNtwUnit_172 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_2                 |        contAddrNtwUnit_173 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_3                 |        contAddrNtwUnit_174 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_4                 |        contAddrNtwUnit_175 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_5                 |        contAddrNtwUnit_176 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_6                 |        contAddrNtwUnit_177 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_7                 |        contAddrNtwUnit_178 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
