Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:31:17 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
---------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|         ctrlunits_7                  |    stealNetworkCtrlUnit_63 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_8                  |    stealNetworkCtrlUnit_64 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_9                  |    stealNetworkCtrlUnit_65 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_0                  |       stealNetworkDataUnit |    64(0.01%) |    64(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_1                  |    stealNetworkDataUnit_66 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_10                 |    stealNetworkDataUnit_67 |   256(0.02%) |   256(0.02%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_2                  |    stealNetworkDataUnit_68 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   259(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_3                  |    stealNetworkDataUnit_69 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   262(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_4                  |    stealNetworkDataUnit_70 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   261(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_5                  |    stealNetworkDataUnit_71 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   262(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
