Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 21:29:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|       queues_2                       |               contQueue_94 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_104 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_3                       |               contQueue_95 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_103 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_4                       |               contQueue_96 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_102 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_5                       |               contQueue_97 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_101 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_6                       |               contQueue_98 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_100 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_7                       |               contQueue_99 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                    Queue_4 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       vcasNetworkUnits_0             |         contAddrNtwUnitCAS |     6(0.01%) |     6(0.01%) |    0(0.00%) | 0(0.00%) |    68(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|     vcas_0                           |         virtContAddrServer |   793(0.06%) |   737(0.06%) |   56(0.01%) | 0(0.00%) |  1243(0.05%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       (vcas_0)                       |         virtContAddrServer |   512(0.04%) |   512(0.04%) |    0(0.00%) | 0(0.00%) |  1228(0.05%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       rdReq__deq                     |                   Queue_76 |    73(0.01%) |    69(0.01%) |    4(0.01%) | 0(0.00%) |     5(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       wrReqData__deq                 |                 Queue_2_77 |   125(0.01%) |    77(0.01%) |   48(0.01%) | 0(0.00%) |     5(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       wrReq__deq                     |                   Queue_78 |    83(0.01%) |    79(0.01%) |    4(0.01%) | 0(0.00%) |     5(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|   stealSide                          |                  stealSide |  9811(0.75%) |  9607(0.74%) |  204(0.03%) | 0(0.00%) |  8307(0.32%) | 56(2.78%) | 8(0.20%) | 0(0.00%) |   0(0.00%) |
|     stealNW_TQ                       |                 stealNW_TQ |  7873(0.60%) |  7873(0.60%) |    0(0.00%) | 0(0.00%) |  7750(0.30%) | 56(2.78%) | 8(0.20%) | 0(0.00%) |   0(0.00%) |
|       stealNet                       |               stealNetwork |   843(0.06%) |   843(0.06%) |    0(0.00%) | 0(0.00%) |  2861(0.11%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_0                  |       stealNetworkCtrlUnit |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_1                  |    stealNetworkCtrlUnit_56 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_10                 |    stealNetworkCtrlUnit_57 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_2                  |    stealNetworkCtrlUnit_58 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_3                  |    stealNetworkCtrlUnit_59 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_4                  |    stealNetworkCtrlUnit_60 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_5                  |    stealNetworkCtrlUnit_61 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_6                  |    stealNetworkCtrlUnit_62 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_7                  |    stealNetworkCtrlUnit_63 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_8                  |    stealNetworkCtrlUnit_64 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         ctrlunits_9                  |    stealNetworkCtrlUnit_65 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     1(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_0                  |       stealNetworkDataUnit |    64(0.01%) |    64(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_1                  |    stealNetworkDataUnit_66 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_10                 |    stealNetworkDataUnit_67 |   256(0.02%) |   256(0.02%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
